;Bundesland;Bestaetigte Faelle;Davon elektronisch uebermittelt;Schwerpunkt Gebiete
0;Baden-Württemberg;827 (3);524 (2);
1;Bayern;886 (4);804 (1);
2;Berlin;265;265;
3;Brandenburg;84;56;
4;Bremen;53;53;
5;Hamburg;162;162;
6;Hessen;286;207;
7;Mecklenburg-Vorpommern;50;33;
8;Niedersachsen;287;238;
9;Nordrhein-Westfalen;1.407 (5);1.407 (5);Landkreis Heinsberg
10;Rheinland-Pfalz;168;168;
11;Saarland;32;32;
12;Sachsen;130;91;
13;Sachsen-Anhalt;47;40;
14;Schleswig-Holstein;103;79;
15;Thüringen;51;36;
16;<strong>Gesamt</strong>;<strong>4.838 (12)</strong>;<strong>4.195 (8)</strong>;
