;Bundesland;Bestaetigte Faelle;Davon elektronisch uebermittelt;Schwerpunkt Gebiete
0;Baden-Württemberg;1.105 (3);1.062 (3);
1;Bayern;1.067 (5);965 (4);
2;Berlin;300;300;
3;Brandenburg;94;65;
4;Bremen;56;56;
5;Hamburg;260;255;
6;Hessen;342;241;
7;Mecklenburg-Vorpommern;51;36;
8;Niedersachsen;391;272;
9;Nordrhein-Westfalen;1.541 (5);1.541 (5);Landkreis Heinsberg
10;Rheinland-Pfalz;325;325;
11;Saarland;85;32;
12;Sachsen;140;103;
13;Sachsen-Anhalt;77;40;
14;Schleswig-Holstein;123;104;
15;Thüringen;55;36;
16;<strong>Gesamt</strong>;<strong>6.012 (13)</strong>;<strong>5.433 (12)</strong>;
