Bundesland;Kreis
Baden-Württemberg;Zollernalbkreis
Baden-Württemberg;Waldshut
Baden-Württemberg;Ulm
Baden-Württemberg;Tuttlingen
Baden-Württemberg;Tübingen
Baden-Württemberg;Stuttgart
Baden-Württemberg;Sigmaringen
Baden-Württemberg;Schwarzwald-Baar-Kreis
Baden-Württemberg;Schwäbisch Hall
Baden-Württemberg;Rottweil
Baden-Württemberg;Rhein-Neckar-Kreis
Baden-Württemberg;Reutlingen
Baden-Württemberg;Rems-Murr-Kreis
Baden-Württemberg;Ravensburg
Baden-Württemberg;Rastatt
Baden-Württemberg;Pforzheim
Baden-Württemberg;Ostalbkreis
Baden-Württemberg;Ortenaukreis
Baden-Württemberg;Neckar-Odenwald-Kreis
Baden-Württemberg;Mannheim
Baden-Württemberg;Main-Tauber-Kreis
Baden-Württemberg;Ludwigsburg
Baden-Württemberg;Lörrach
Baden-Württemberg;Konstanz
Baden-Württemberg;Karlsruhe
Baden-Württemberg;Hohenlohekreis
Baden-Württemberg;Heilbronn
Baden-Württemberg;Heidenheim
Baden-Württemberg;Heidelberg
Baden-Württemberg;Göppingen
Baden-Württemberg;Freudenstadt
Baden-Württemberg;Freiburg im Breisgau
Baden-Württemberg;Esslingen
Baden-Württemberg;Enzkreis
Baden-Württemberg;Emmendingen
Baden-Württemberg;Calw
Baden-Württemberg;Breisgau-Hochschwarzwald
Baden-Württemberg;Bodenseekreis
Baden-Württemberg;Böblingen
Baden-Württemberg;Biberach
Baden-Württemberg;Baden-Württemberg
Baden-Württemberg;Baden-Baden
Baden-Württemberg;Alb-Donau-Kreis
Brandenburg;Barnim
Brandenburg;Dahme-Spreewald
Brandenburg;Elbe-Elster
Brandenburg;Havelland
Brandenburg;Märkisch-Oderland
Brandenburg;Oberhavel
Brandenburg;Oberspreewald-Lausitz
Brandenburg;Oder-Spree
Brandenburg;Ostprignitz-Ruppin
Brandenburg;Potsdam-Mittelmark
Brandenburg;Prignitz
Brandenburg;Spree-Neiße
Brandenburg;Teltow-Fläming
Brandenburg;Uckermark
Bayern;Aichach-Friedberg
Bayern;Altötting
Bayern;Amberg-Sulzbach
Bayern;Ansbach
Bayern;Aschaffenburg
Bayern;Augsburg
Bayern;Bad Kissingen
Bayern;Bad Tölz-Wolfratshausen
Bayern;Bamberg
Bayern;Bayreuth
Bayern;Berchtesgadener Land
Bayern;Cham
Bayern;Coburg
Bayern;Dachau
Bayern;Deggendorf
Bayern;Dillingen an der Donau
Bayern;Dingolfing-Landau
Bayern;Donau-Ries
Bayern;Ebersberg
Bayern;Eichstätt
Bayern;Erding
Bayern;Erlangen-Höchstadt
Bayern;Forchheim
Bayern;Freising
Bayern;Freyung-Grafenau
Bayern;Fürstenfeldbruck
Bayern;Fürth
Bayern;Garmisch-Partenkirchen
Bayern;Günzburg
Bayern;Haßberge
Bayern;Hof
Bayern;Kelheim
Bayern;Kitzingen
Bayern;Kronach
Bayern;Kulmbach
Bayern;Landsberg am Lech
Bayern;Landshut
Bayern;Lichtenfels
Bayern;Lindau (Bodensee)
Bayern;Main-Spessart
Bayern;Miesbach
Bayern;Miltenberg
Bayern;Mühldorf am Inn
Bayern;München
Bayern;Neu-Ulm
Bayern;Neuburg-Schrobenhausen
Bayern;Neumarkt in der Oberpfalz
Bayern;Neustadt an der Aisch-Bad Windsheim
Bayern;Neustadt an der Waldnaab
Bayern;Nürnberger Land
Bayern;Oberallgäu
Bayern;Ostallgäu
Bayern;Passau
Bayern;Pfaffenhofen an der Ilm
Bayern;Regen
Bayern;Regensburg
Bayern;Rhön-Grabfeld
Bayern;Rosenheim
Bayern;Roth
Bayern;Rottal-Inn
Bayern;Schwandorf
Bayern;Schweinfurt
Bayern;Starnberg
Bayern;Straubing-Bogen
Bayern;Tirschenreuth
Bayern;Traunstein
Bayern;Unterallgäu
Bayern;Weilheim-Schongau
Bayern;Weißenburg-Gunzenhausen
Bayern;Wunsiedel im Fichtelgebirge
Bayern;Würzburg
Bayern;Ingolstadt
Bayern;Weiden i.d. OPf.
Bayern;Neumarkt i.d. OPf.
Bayern;Neustadt a.d. Waldnaab
Bayern;Wunsiedel i. Fichtelgebirge
Bayern;Erlangen
Bayern;Neustadt a.d. Aisch-Bad Windsheim
Bayern;Schwabach
Bayern;Nürnberg
Bayern;Straubing
Bayern;Amberg
Bayern;Pfaffenhofen an der Ilm
Hessen;Bergstraße
Hessen;Darmstadt-Dieburg
Hessen;Fulda
Hessen;Gießen
Hessen;Groß-Gerau
Hessen;Hersfeld-Rotenburg
Hessen;Hochtaunuskreis
Hessen;Kassel
Hessen;Lahn-Dill-Kreis
Hessen;Limburg-Weilburg
Hessen;Main-Kinzig-Kreis
Hessen;Main-Taunus-Kreis
Hessen;Marburg-Biedenkopf
Hessen;Odenwaldkreis
Hessen;Offenbach
Hessen;Rheingau-Taunus-Kreis
Hessen;Schwalm-Eder-Kreis
Hessen;Vogelsbergkreis
Hessen;Waldeck-Frankenberg
Hessen;Werra-Meißner-Kreis
Hessen;Wetteraukreis
Mecklenburg-Vorpommern;Ludwigslust-Parchim
Mecklenburg-Vorpommern;Mecklenburgische Seenplatte
Mecklenburg-Vorpommern;Nordwestmecklenburg
Mecklenburg-Vorpommern;Rostock
Mecklenburg-Vorpommern;Vorpommern-Greifswald
Mecklenburg-Vorpommern;Vorpommern-Rügen
Niedersachsen;Ammerland
Niedersachsen;Aurich
Niedersachsen;Celle
Niedersachsen;Cloppenburg
Niedersachsen;Cuxhaven
Niedersachsen;Diepholz
Niedersachsen;Emsland
Niedersachsen;Friesland
Niedersachsen;Gifhorn
Niedersachsen;Goslar
Niedersachsen;Göttingen
Niedersachsen;Grafschaft Bentheim
Niedersachsen;Hameln-Pyrmont
Niedersachsen;Hannover, Region
Niedersachsen;Harburg
Niedersachsen;Heidekreis
Niedersachsen;Helmstedt
Niedersachsen;Hildesheim
Niedersachsen;Holzminden
Niedersachsen;Leer
Niedersachsen;Lüchow-Dannenberg
Niedersachsen;Lüneburg
Niedersachsen;Nienburg/Weser
Niedersachsen;Northeim
Niedersachsen;Oldenburg
Niedersachsen;Osnabrück
Niedersachsen;Osterholz
Niedersachsen;Peine
Niedersachsen;Rotenburg (Wümme)
Niedersachsen;Schaumburg
Niedersachsen;Stade
Niedersachsen;Uelzen
Niedersachsen;Vechta
Niedersachsen;Verden
Niedersachsen;Wesermarsch
Niedersachsen;Wittmund
Niedersachsen;Wolfenbüttel
Nordrhein-Westfalen;Aachen
Nordrhein-Westfalen;Borken
Nordrhein-Westfalen;Coesfeld
Nordrhein-Westfalen;Düren
Nordrhein-Westfalen;Ennepe-Ruhr-Kreis
Nordrhein-Westfalen;Euskirchen
Nordrhein-Westfalen;Gütersloh
Nordrhein-Westfalen;Heinsberg
Nordrhein-Westfalen;Herford
Nordrhein-Westfalen;Hochsauerlandkreis
Nordrhein-Westfalen;Höxter
Nordrhein-Westfalen;Kleve
Nordrhein-Westfalen;Lippe
Nordrhein-Westfalen;Märkischer Kreis
Nordrhein-Westfalen;Mettmann
Nordrhein-Westfalen;Minden-Lübbecke
Nordrhein-Westfalen;Oberbergischer Kreis
Nordrhein-Westfalen;Olpe
Nordrhein-Westfalen;Paderborn
Nordrhein-Westfalen;Recklinghausen
Nordrhein-Westfalen;Rhein-Erft-Kreis
Nordrhein-Westfalen;Rhein-Kreis Neuss
Nordrhein-Westfalen;Rhein-Sieg-Kreis
Nordrhein-Westfalen;Rheinisch-Bergischer Kreis
Nordrhein-Westfalen;Siegen-Wittgenstein
Nordrhein-Westfalen;Soest
Nordrhein-Westfalen;Steinfurt
Nordrhein-Westfalen;Unna
Nordrhein-Westfalen;Viersen
Nordrhein-Westfalen;Warendorf
Nordrhein-Westfalen;Wesel
Rheinland-Pfalz;Ahrweiler
Rheinland-Pfalz;Altenkirchen (Westerwald)
Rheinland-Pfalz;Alzey-Worms
Rheinland-Pfalz;Bad Dürkheim
Rheinland-Pfalz;Bad Kreuznach
Rheinland-Pfalz;Bernkastel-Wittlich
Rheinland-Pfalz;Birkenfeld
Rheinland-Pfalz;Cochem-Zell
Rheinland-Pfalz;Donnersbergkreis
Rheinland-Pfalz;Eifelkreis Bitburg-Prüm
Rheinland-Pfalz;Germersheim
Rheinland-Pfalz;Kaiserslautern
Rheinland-Pfalz;Kusel
Rheinland-Pfalz;Mainz-Bingen
Rheinland-Pfalz;Mayen-Koblenz
Rheinland-Pfalz;Neuwied
Rheinland-Pfalz;Rhein-Hunsrück-Kreis
Rheinland-Pfalz;Rhein-Lahn-Kreis
Rheinland-Pfalz;Rhein-Pfalz-Kreis
Rheinland-Pfalz;Südliche Weinstraße
Rheinland-Pfalz;Südwestpfalz
Rheinland-Pfalz;Trier-Saarburg
Rheinland-Pfalz;Vulkaneifel
Rheinland-Pfalz;Westerwaldkreis
Schleswig-Holstein;Dithmarschen
Schleswig-Holstein;Herzogtum Lauenburg
Schleswig-Holstein;Nordfriesland
Schleswig-Holstein;Ostholstein
Schleswig-Holstein;Pinneberg
Schleswig-Holstein;Plön
Schleswig-Holstein;Rendsburg-Eckernförde
Schleswig-Holstein;Schleswig-Flensburg
Schleswig-Holstein;Segeberg
Schleswig-Holstein;Steinburg
Schleswig-Holstein;Stormarn
Saarland;Merzig-Wadern
Saarland;Neunkirchen
Saarland;Saarbrücken, Regionalverband[FN 1]
Saarland;Saarlouis
Saarland;Saarpfalz-Kreis
Saarland;St. Wendel
Sachsen;Bautzen
Sachsen;Erzgebirgskreis
Sachsen;Görlitz
Sachsen;Leipzig
Sachsen;Meißen
Sachsen;Mittelsachsen
Sachsen;Nordsachsen
Sachsen;Sächsische Schweiz-Osterzgebirge
Sachsen;Vogtlandkreis
Sachsen;Zwickau
Sachsen-Anhalt;Altmarkkreis Salzwedel
Sachsen-Anhalt;Anhalt-Bitterfeld
Sachsen-Anhalt;Börde
Sachsen-Anhalt;Burgenlandkreis
Sachsen-Anhalt;Harz
Sachsen-Anhalt;Jerichower Land
Sachsen-Anhalt;Mansfeld-Südharz
Sachsen-Anhalt;Saalekreis
Sachsen-Anhalt;Salzlandkreis
Sachsen-Anhalt;Stendal
Sachsen-Anhalt;Wittenberg
Thüringen;Altenburger Land
Thüringen;Eichsfeld
Thüringen;Gotha
Thüringen;Greiz
Thüringen;Hildburghausen
Thüringen;Ilm-Kreis
Thüringen;Kyffhäuserkreis
Thüringen;Nordhausen
Thüringen;Saale-Holzland-Kreis
Thüringen;Saale-Orla-Kreis
Thüringen;Saalfeld-Rudolstadt
Thüringen;Schmalkalden-Meiningen
Thüringen;Sömmerda
Thüringen;Sonneberg
Thüringen;Unstrut-Hainich-Kreis
Thüringen;Wartburgkreis
Thüringen;Weimarer Land
Schleswig-Holstein;Flensburg
Schleswig-Holstein;Kiel
Schleswig-Holstein;Lübeck
Schleswig-Holstein;Neumünster
Hamburg;Hamburg
Niedersachsen;Braunschweig
Niedersachsen;Salzgitter
Niedersachsen;Wolfsburg
Niedersachsen;Osterode am Harz
Niedersachsen;Region Hannover
Niedersachsen;Nienburg (Weser)
Niedersachsen;Delmenhorst
Niedersachsen;Emden
Niedersachsen;Oldenburg (Oldenburg)
Niedersachsen;Wilhelmshaven
Bremen;Bremen
Bremen;Bremerhaven
Nordrhein-Westfalen;Düsseldorf
Nordrhein-Westfalen;Duisburg
